goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_30-Gas=12000-12             	    9568	    123344 ns/op	     12000 gas/op	        97.28 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_31-Gas=12000-12             	    9577	    123088 ns/op	     12000 gas/op	        97.48 mgas/s	    1072 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_32-Gas=12000-12             	    9501	    123301 ns/op	     12000 gas/op	        97.31 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_33-Gas=12000-12             	    9490	    123667 ns/op	     12000 gas/op	        97.03 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_34-Gas=12000-12             	    9645	    123580 ns/op	     12000 gas/op	        97.09 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_35-Gas=12000-12             	    9612	    123420 ns/op	     12000 gas/op	        97.22 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_36-Gas=12000-12             	    9523	    124056 ns/op	     12000 gas/op	        96.72 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_37-Gas=12000-12             	    9550	    124639 ns/op	     12000 gas/op	        96.27 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_38-Gas=12000-12             	    9601	    123528 ns/op	     12000 gas/op	        97.14 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_39-Gas=12000-12             	    9554	    126347 ns/op	     12000 gas/op	        94.97 mgas/s	    1088 B/op	      14 allocs/op
